id,title,budget,revenue,runtime,popularity,vote_average
24428,The Avengers,220000000,1518815515,143,48.8269,7.831
1236470,The Lost Bus,0,0,130,43.4675,7.229
1377413,St. Patrick's Day Massacre,0,0,83,46.1509,3.0
1550223,The Time That Remains,0,0,116,43.9646,6.5
1119878,Ice Road: Vengeance,0,0,113,42.0623,6.314
615453,Ne Zha,22000000,742718496,110,44.636,7.891
574475,Final Destination Bloodlines,50000000,310430814,110,43.3557,7.1
1022787,Elio,150000000,153797125,98,41.6641,6.961
1035259,The Naked Gun,42000000,101847396,85,42.512,6.6
1071585,M3GAN 2.0,25000000,39085942,120,39.8926,7.412
541671,Ballerina,90000000,137258395,125,42.3682,7.3
3933,Corpse Bride,40000000,118133252,77,40.4132,7.583
1470086,Ligaw,0,0,85,37.8205,7.2
1044736,I Swear,0,0,110,39.7029,5.8
1241982,Moana 2,150000000,1059242164,100,38.9569,7.033
987400,Aztec Batman: Clash of Empires,0,0,89,35.8165,7.883
1382406,Striking Rescue,0,0,106,38.3292,7.531
354912,Coco,175000000,814641172,105,38.4214,8.201
933260,The Substance,17500000,76506196,141,39.4978,7.149
1364608,Anemone,11000000,1100800,126,38.6917,6.3
1549457,Gypsy Moon,0,0,80,32.4825,7.0
1512581,No Tears in Hell,0,0,105,30.4905,0.0
1197306,A Working Man,40000000,99068160,116,37.3613,6.702
1302318,A Woman with No Filter,0,0,92,32.6474,5.5
13494,Red Sonja,0,265091,110,33.5079,5.7
1371189,Ruth & Boaz,0,0,93,31.4545,7.763
76600,Avatar: The Way of Water,350000000,2330224914,192,32.8852,7.611
